Crime,Address,Date,Time
Aggravated assault,100 block Milnor Av,1/2/2016,2:40 p.m.
Aggravated assault,100 block Shonnard St,1/2/2016,6:43 p.m.
Aggravated assault,300 block S Clinton St,1/2/2016,10:55 p.m.
Aggravated assault,100 block Ballantyne Rd,1/2/2016,3:00 p.m.
Aggravated assault,200 block Greenwood Pl,1/1/2016,12:30 a.m.
Aggravated assault,2600 block S Salina St,1/1/2016,7:40 p.m.
Aggravated assault,200 block Village Dr,12/30/2015,6:53 p.m.
Aggravated assault,100 block Almond St,12/29/2015,2:00 p.m.-7:32 p.m.
Aggravated assault,100 block Dudley St,12/28/2015,9:50 a.m.
Aggravated assault,600 block N Salina St,12/28/2015,7:04 p.m.
Aggravated assault,1600 block Midland Av,12/28/2015,11:00 p.m.-11:04 p.m.
Aggravated assault,1500 block E Genesee St,12/27/2015,7:05 p.m.-7:20 p.m.
Aggravated assault,500 block W Onondaga St,12/27/2015,7:00 p.m.
Aggravated assault,100 block Wood Av,12/26/2015,3:45 a.m.
Aggravated assault,2100 block Park St,12/26/2015,11:00 a.m.
Aggravated assault,100 block Latimer Ter,12/26/2015,2:25 p.m.
Aggravated assault,100 block Mary St,12/26/2015,3:40 p.m.-3:43 p.m.
Aggravated assault,3300 block Midland Av,12/26/2015,9:45 p.m.
Aggravated assault,1000 block James St,12/26/2015,4:00 p.m.
Aggravated assault,0 block Destiny Usa Dr,12/26/2015,7:59 p.m.
Aggravated assault,500 block Prospect Av,12/25/2015,9:31 p.m.
Aggravated assault,100 block W Fayette St,12/25/2015,11:45 p.m.
Aggravated assault,1200 block Avery Av,12/24/2015,5:37 p.m.
Aggravated assault,100 block Genesee Park Dr,12/23/2015,1:55 p.m.
Aggravated assault,100 block S Carbon St,12/23/2015,7:30 p.m.-7:43 p.m.
Aggravated assault,800 block Avery Av,12/20/2015,2:45 a.m.-2:51 a.m.
Aggravated assault,100 block Village Dr,12/20/2015,2:00 p.m.
Aggravated assault,1000 block Bellevue Av,12/20/2015,9:57 p.m.
Aggravated assault,400 block S Collingwood Av,12/19/2015,10:00 p.m.-10:17 p.m.
Aggravated assault,1600 block W Genesee St,12/19/2015,10:19 p.m.
Aggravated assault,400 block Shonnard St,12/18/2015,11:45 p.m.
Aggravated assault,200 block Rowland St,12/16/2015,4:57 p.m.
Aggravated assault,400 block South Av,12/16/2015,10:41 p.m.
Aggravated assault,1000 block Tyson Pl,12/15/2015,12:30 p.m.-12:52 p.m.
Aggravated assault,100 block Ainsley Dr,12/15/2015,7:05 p.m.
Aggravated assault,100 block Stafford Av,12/15/2015,10:35 p.m.
Aggravated assault,400 block Comstock Av,12/14/2015,6:00 a.m.
Aggravated assault,600 block N Geddes St,12/13/2015,12:20 a.m.
Aggravated assault,500 block Vine St,12/12/2015,9:20 a.m.-9:34 a.m.
Aggravated assault,100 block N Edwards Av,12/11/2015,1:00 a.m.
Aggravated assault,600 block S Geddes St,12/11/2015,10:15 p.m.
Aggravated assault,1200 block Almond St,12/10/2015,10:00 a.m.
Aggravated assault,500 block S Salina St,12/10/2015,12:15 p.m.-12:19 p.m.
Aggravated assault,700 block James St,12/9/2015,5:45 p.m.-6:45 p.m.
Aggravated assault,100 block Knaul St,12/8/2015,12:36 a.m.
Aggravated assault,1000 block N Townsend St,12/8/2015,8:10 p.m.
Aggravated assault,0 block Sterling Av,12/6/2015,1:35 a.m.
Aggravated assault,200 block E Division St,12/6/2015,1:58 a.m.
Aggravated assault,500 block W Brighton Av,12/6/2015,4:15 a.m.
Aggravated assault,500 block W Onondaga St,12/5/2015,10:35 a.m.
Aggravated assault,300 block Hoefler St,12/5/2015,2:20 p.m.
Aggravated assault,100 block W Brighton Av,12/5/2015,7:56 p.m.
Aggravated assault,200 block Elk St,12/5/2015,8:54 p.m.
Aggravated assault,200 block Barrett St,12/5/2015,11:40 p.m.
Aggravated assault,100 block Kirkwood Pl,12/5/2015,9:30 p.m.
Aggravated assault,300 block Catherine St,12/3/2015,9:00 a.m.-9:03 a.m.
Aggravated assault,900 block Park Av,12/3/2015,6:56 p.m.
Aggravated assault,1600 block Lodi St,12/2/2015,12:07 a.m.
Aggravated assault,600 block Dewitt St,12/2/2015,6:40 p.m.-6:41 p.m.
Aggravated assault,300 block Rowland St,12/1/2015,11:00 p.m.-11:31 p.m.
Aggravated assault,2000 block E Fayette St,11/30/2015,10:08 a.m.
Aggravated assault,200 block Catawba St,11/29/2015,12:49 a.m.
Aggravated assault,400 block S Salina St,11/29/2015,2:10 a.m.
Aggravated assault,0 block South Side,11/29/2015,12:00 a.m.-12:00 p.m.
